stone;stone;stone;stone;stone;stone;stone;stone;stone;stone;stone;stone
stone;grass,player;stone;grass;grass;grass;grass;grass;grass;grass;grass;stone
stone;grass;stone;stone;stone;stone;grass;grass;grass;grass;grass;stone
stone;grass;grass;grass;grass;grass;grass;grass;stone;grass;grass;stone
stone;grass;grass;grass;grass;stone;grass;grass;stone;grass;grass;stone
stone;grass;grass;grass;grass;stone;stone;stone;stone;grass;grass;stone
stone;grass;grass;grass;grass;grass;stone;stone;grass;grass;grass;stone
stone;grass;stone;stone;grass;grass;stone;stone;grass;stone;stone;stone
stone;grass;grass;stone;grass;grass;stone;stone;grass;grass;grass;stone
stone;grass;grass;stone;stone;stone;stone;grass;grass;grass;grass;stone
stone;grass;grass;grass;grass;stone;grass;grass;grass;stone;grass,coin;stone
stone;grass;grass;grass;grass,coin;grass;grass;grass;grass;stone;grass;stone
stone;grass;grass;grass;grass;grass;grass;grass;grass;stone;grass;stone
stone;grass,coin;grass;grass;grass;stone;stone;stone;grass;stone;grass;stone
stone;grass;grass;grass;grass;grass;grass;stone;grass;stone;grass;stone
stone;grass;stone;grass;grass,coin;grass;grass;stone;grass;grass;grass;stone
stone;grass;stone;grass;grass;stone;grass;stone;grass;grass,warrior;grass;stone
stone;grass;stone;grass;grass;stone;grass;stone;grass;grass;grass;stone
stone;grass,coin;grass;grass;grass;stone;grass;stone;stone;stone;grass;stone
stone;grass;stone;stone;stone;stone;grass;grass;grass;grass;grass;stone
stone;grass;grass;grass;grass;grass;grass;grass;grass;grass,warrior;grass;stone
stone;grass;grass;grass;grass;grass;grass;grass;grass;grass;grass;stone
stone;grass,coin;grass;grass;stone;stone;stone;stone;stone;stone;stone;stone
stone;grass;grass;grass;grass;grass;stone;grass;grass,coin;grass;grass;stone
stone;grass;grass,coin;grass;grass;grass,coin;stone;grass;grass;stone;grass;stone
stone;grass;grass;stone;grass;grass;grass;grass;grass;stone;grass,coin;stone
stone;grass;grass,coin;stone;grass;grass,warrior;grass;grass;grass;stone;grass;stone
stone;stone;stone;stone;stone;stone;stone;stone;stone;stone;grass,exit;stone
